,content_url,listing_price,time_posted,title
48,sfbay.craigslist.org/pen/apa/6047901682.html,2647.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=24, tm_sec=21, tm_wday=4, tm_yday=76, tm_isdst=-1)","Salt Water Pool, Visit Your New Home, Come Visit Today"
49,sfbay.craigslist.org/pen/apa/6047896886.html,3200.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=21, tm_sec=38, tm_wday=4, tm_yday=76, tm_isdst=-1)","Gated Entry, Schedule a Tour, Tranquil Location"
50,sfbay.craigslist.org/pen/apa/6047877388.html,2973.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=9, tm_min=10, tm_sec=30, tm_wday=4, tm_yday=76, tm_isdst=-1)",1st Floor 1 Bed On the Water With Excellent Light!
51,sfbay.craigslist.org/pen/apa/6047857074.html,2880.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=8, tm_min=58, tm_sec=53, tm_wday=4, tm_yday=76, tm_isdst=-1)",Luxurious Corner Garden Home w/ Front & Rear Entrances!
52,sfbay.craigslist.org/pen/apa/6047845639.html,3395.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=8, tm_min=52, tm_sec=55, tm_wday=4, tm_yday=76, tm_isdst=-1)",COMFORTABLE LIVING IN SAN MATEO
53,sfbay.craigslist.org/pen/apa/6047831221.html,2845.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=8, tm_min=43, tm_sec=15, tm_wday=4, tm_yday=76, tm_isdst=-1)",HIGH RISE LIVING IN SAN MATEO
54,sfbay.craigslist.org/pen/apa/6047825852.html,3295.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=8, tm_min=40, tm_sec=7, tm_wday=4, tm_yday=76, tm_isdst=-1)",RYAN TOWER LIVING
55,sfbay.craigslist.org/pen/apa/6047810968.html,2968.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=8, tm_min=31, tm_sec=21, tm_wday=4, tm_yday=76, tm_isdst=-1)","BIG ROOMS, BIG CLOSETS, LITTLE PRICE! W/D & more."
56,sfbay.craigslist.org/pen/apa/6043576301.html,2948.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=8, tm_min=30, tm_sec=19, tm_wday=4, tm_yday=76, tm_isdst=-1)","WELCOME TO YOUR NEW HOME!..Spacious,corner unit,steel appliance & more"
57,sfbay.craigslist.org/pen/apa/6047469777.html,2628.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=0, tm_min=45, tm_sec=34, tm_wday=4, tm_yday=76, tm_isdst=-1)",2628 / 1br - FOSTER CITY' BeachCove ONE MONTH FREE! PLus 2000 Bonus
58,sfbay.craigslist.org/pen/apa/6047405205.html,2950.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=21, tm_min=49, tm_sec=27, tm_wday=3, tm_yday=75, tm_isdst=-1)",$2950 / 2br 2ba - 1050sqft Apartment near Crystal Springs
59,sfbay.craigslist.org/pen/apa/6037426212.html,3235.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=20, tm_min=49, tm_sec=9, tm_wday=3, tm_yday=75, tm_isdst=-1)","Completely renovated! Open layout, corner duplex."
60,sfbay.craigslist.org/pen/apa/6020417175.html,2426.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=19, tm_min=56, tm_sec=24, tm_wday=3, tm_yday=75, tm_isdst=-1)","Porch, Sauna, Pool, Gym, Parking spot, No Deposit, Pets OK, Avail Now!"
61,sfbay.craigslist.org/pen/apa/6042339234.html,2426.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=19, tm_min=56, tm_sec=22, tm_wday=3, tm_yday=75, tm_isdst=-1)","1b/1ba on the water, Sublet / Lease Takeover ~ Pool, Sauna, Gym, W/D"
62,sfbay.craigslist.org/pen/apa/6047269480.html,3057.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=44, tm_sec=50, tm_wday=3, tm_yday=75, tm_isdst=-1)","Beautiful Layout, High Ceilings, Granite Countertop! Luxurious Apt!"
63,sfbay.craigslist.org/pen/apa/6047259341.html,2855.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=33, tm_sec=51, tm_wday=3, tm_yday=75, tm_isdst=-1)",Ground floor 1 bed with courtyard view!
64,sfbay.craigslist.org/pen/apa/6047257895.html,3055.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=32, tm_sec=19, tm_wday=3, tm_yday=75, tm_isdst=-1)",What you waiting for? This 2x2 is all you need!
65,sfbay.craigslist.org/pen/apa/6047249195.html,2998.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=30, tm_sec=9, tm_wday=3, tm_yday=75, tm_isdst=-1)",Great Apartment Flow to Decorate
66,sfbay.craigslist.org/pen/apa/6047255701.html,2916.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=29, tm_sec=59, tm_wday=3, tm_yday=75, tm_isdst=-1)",All the space needed in this fruitful 1 bedroom!
67,sfbay.craigslist.org/pen/apa/6047247328.html,2698.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=28, tm_sec=6, tm_wday=3, tm_yday=75, tm_isdst=-1)",Convenience is Endless from Park Royal!
68,sfbay.craigslist.org/pen/apa/6047252174.html,3398.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=26, tm_sec=20, tm_wday=3, tm_yday=75, tm_isdst=-1)",Spacious 2x2 W/ Complementary Wi-Fi inside your new home!
69,sfbay.craigslist.org/pen/apa/6047251551.html,2978.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=25, tm_sec=41, tm_wday=3, tm_yday=75, tm_isdst=-1)",Newly Remodeled 1 Bedroom Available Now!
70,sfbay.craigslist.org/pen/apa/6047246497.html,2998.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=25, tm_sec=13, tm_wday=3, tm_yday=75, tm_isdst=-1)",Beautiful Two Bedroom w/ Laundry in Unit!
71,sfbay.craigslist.org/pen/apa/6047250889.html,2978.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=24, tm_sec=59, tm_wday=3, tm_yday=75, tm_isdst=-1)",Modern Finishes w/ Granite Countertops & Designer Cabinetry-Call Now!
72,sfbay.craigslist.org/pen/apa/6047219567.html,2545.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=18, tm_min=11, tm_sec=19, tm_wday=3, tm_yday=75, tm_isdst=-1)",You've found it! 950 Sq. Ft. 2 Bedroom Unit Available Now!
73,sfbay.craigslist.org/pen/apa/6047216836.html,3113.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=17, tm_min=49, tm_sec=42, tm_wday=3, tm_yday=75, tm_isdst=-1)",WE HAVE IT ALL! QUARTZ/SS APPS/WASHER & DRYER.  ONE MONTH FREE!
74,sfbay.craigslist.org/pen/apa/6047215924.html,3295.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=17, tm_min=48, tm_sec=48, tm_wday=3, tm_yday=75, tm_isdst=-1)",LIVING HIGH IN SAN MATEO
75,sfbay.craigslist.org/pen/apa/6047208829.html,2490.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=17, tm_min=42, tm_sec=2, tm_wday=3, tm_yday=75, tm_isdst=-1)",Spacious Studio with Abundant Closet Space - You Don't Want To Miss!
76,sfbay.craigslist.org/pen/apa/6047196940.html,2400.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=17, tm_min=30, tm_sec=25, tm_wday=3, tm_yday=75, tm_isdst=-1)","Walk-in Closet, Pet Friendly, 55+ Housing! Call for special!"
77,sfbay.craigslist.org/pen/apa/6047172723.html,2465.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=17, tm_min=17, tm_sec=28, tm_wday=3, tm_yday=75, tm_isdst=-1)","Spring, Perfect Time to Move - Immediate Move In Available"
78,sfbay.craigslist.org/pen/apa/6043059234.html,2900.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=58, tm_sec=51, tm_wday=3, tm_yday=75, tm_isdst=-1)",Charming 2b/1b Duplex COMING APRIL!
79,sfbay.craigslist.org/pen/apa/6047155567.html,2995.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=58, tm_sec=42, tm_wday=3, tm_yday=75, tm_isdst=-1)",Two bedroom with Lush Finishes!
80,sfbay.craigslist.org/pen/apa/6047152969.html,2830.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=49, tm_sec=23, tm_wday=3, tm_yday=75, tm_isdst=-1)",Renovated One Bedroom with Huge Bathroom Space!
81,sfbay.craigslist.org/pen/apa/6047151284.html,3295.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=47, tm_sec=57, tm_wday=3, tm_yday=75, tm_isdst=-1)",Life at Ryan Towers San Mateo
82,sfbay.craigslist.org/pen/apa/6047149894.html,2907.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=46, tm_sec=41, tm_wday=3, tm_yday=75, tm_isdst=-1)",Gorgeous One Bedroom with a Classic Touch!
83,sfbay.craigslist.org/pen/apa/6047146639.html,2981.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=43, tm_sec=48, tm_wday=3, tm_yday=75, tm_isdst=-1)",Your Future Home Awaits You! 1x1 Condo Style Available Now
84,sfbay.craigslist.org/pen/apa/6047101991.html,2880.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=16, tm_min=5, tm_sec=36, tm_wday=3, tm_yday=75, tm_isdst=-1)",Enjoy the Tranquility of Our Courtyard from Your Balcony!
85,sfbay.craigslist.org/pen/apa/6047073116.html,2854.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=15, tm_min=41, tm_sec=38, tm_wday=3, tm_yday=75, tm_isdst=-1)","Business Center, Leasing Now, Stylish Features"
86,sfbay.craigslist.org/pen/apa/6039280584.html,3350.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=15, tm_min=30, tm_sec=19, tm_wday=3, tm_yday=75, tm_isdst=-1)",2  ba.DUPLEX-WALK TO BURLINGAME AVE
87,sfbay.craigslist.org/pen/apa/6042265796.html,3350.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=15, tm_min=29, tm_sec=43, tm_wday=3, tm_yday=75, tm_isdst=-1)",2 ba.DUPLEX-WALK TO BURLINGAME AVE
88,sfbay.craigslist.org/pen/apa/6046968550.html,2519.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=14, tm_min=33, tm_sec=45, tm_wday=3, tm_yday=75, tm_isdst=-1)","Large kitchen with great cabinet and counter space,  7-15 month leases"
89,sfbay.craigslist.org/pen/apa/6046983142.html,2649.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=14, tm_min=32, tm_sec=20, tm_wday=3, tm_yday=75, tm_isdst=-1)",Enjoy 2 weeks Free !!
90,sfbay.craigslist.org/pen/apa/6038930077.html,2450.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=14, tm_min=26, tm_sec=14, tm_wday=3, tm_yday=75, tm_isdst=-1)",Live Minutes from Downtown Redwood City and Caltrain Station!
91,sfbay.craigslist.org/pen/apa/6046969349.html,2450.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=14, tm_min=22, tm_sec=22, tm_wday=3, tm_yday=75, tm_isdst=-1)",Walk to Caltrain! Call Today to Tour Our Beautiful 1 Bedroom Apartment
92,sfbay.craigslist.org/pen/apa/6046854850.html,2930.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=13, tm_min=13, tm_sec=55, tm_wday=3, tm_yday=75, tm_isdst=-1)",Excellent Location! Spacious 2 Bedroom 1.5 Bath!
93,sfbay.craigslist.org/pen/apa/6046864506.html,3063.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=13, tm_min=11, tm_sec=19, tm_wday=3, tm_yday=75, tm_isdst=-1)","HUGE, OPEN FLOOR PLANS RIGHT ON THE WATER. ONE MONTH FREE!"
94,sfbay.craigslist.org/pen/apa/6046839253.html,2594.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=12, tm_min=54, tm_sec=53, tm_wday=3, tm_yday=75, tm_isdst=-1)",Lowered 1 bedroom Apartment
95,sfbay.craigslist.org/pen/apa/6046715657.html,2948.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=11, tm_min=35, tm_sec=43, tm_wday=3, tm_yday=75, tm_isdst=-1)","SPACIOUS & UPSCALE 1BR with Walk-in closet, W/D and large Patio"
96,sfbay.craigslist.org/pen/apa/6046706634.html,2899.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=11, tm_min=30, tm_sec=8, tm_wday=3, tm_yday=75, tm_isdst=-1)",Amazing 1 bedroom with washer/dryer inside!
97,sfbay.craigslist.org/pen/apa/6046639974.html,3355.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=16, tm_hour=10, tm_min=49, tm_sec=55, tm_wday=3, tm_yday=75, tm_isdst=-1)","Outdoor fire feature, barbecue facilities and dining areas"
